code,name,description,medium,dim_depth,dim_width,dim_height,weight,year,image_poplets,enabled,image,type,price,url,url_slug,weighting,weight,edition,stock
dw-0014,Untitled,,acrylic and graphite on wood panel,1,11,14,1.6,2012,,Y,DW-0014,drawings,400,/art/drawings/dw-0014,dw-0014,100,,1,1
dw-0015,Untitled,,acrylic and graphite on wood panel,1,11,14,1.6,2012,,Y,DW-0015,drawings,400,/art/drawings/dw-0015,dw-0015,100,,1,1
dw-0016,Untitled,,acrylic and graphite on wood panel,1,11,14,1.6,2012,,Y,DW-0016,drawings,400,/art/drawings/dw-0016,dw-0016,100,,1,1
dw-0017,Untitled,,acrylic and graphite on wood panel,1,11,14,1.6,2012,,Y,DW-0017,drawings,400,/art/drawings/dw-0017,dw-0017,100,,1,1
dw-0018,Untitled,,acrylic and graphite on wood panel,1,11,14,1.6,2012,,Y,DW-0018,drawings,400,/art/drawings/dw-0018,dw-0018,100,,1,1
dw-0019,Untitled,,acrylic and graphite on wood panel,1,12,12,1.6,2012,,Y,DW-0019,drawings,400,/art/drawings/dw-0019,dw-0019,100,,1,1
dw-0020,Untitled,,acrylic and graphite on wood panel,1,12,12,1.6,2012,,Y,DW-0020,drawings,400,/art/drawings/dw-0020,dw-0020,100,,1,1
dw-0021,Untitled,,acrylic and graphite on wood panel,1,12,12,1.6,2012,,Y,DW-0021,drawings,400,/art/drawings/dw-0021,dw-0021,100,,1,1
dw-0022,Untitled,,acrylic and graphite on wood panel,1,12,12,1.6,2012,,Y,DW-0022,drawings,400,/art/drawings/dw-0022,dw-0022,100,,1,1
dw-0023,Untitled,,acrylic and graphite on wood panel,1,12,12,1.6,2012,,Y,DW-0023,drawings,400,/art/drawings/dw-0023,dw-0023,100,,1,1
dw-s-0002,Untitled,,graphite and paper,0.1,11,14,,2010,,Y,DW-S-0002,"drawings,prints",50,/art/drawings/prints/dw-s-0002,dw-s-0002,,,50,1
dw-s-0003,Untitled,,graphite and paper,0.1,11,14,,2010,,Y,DW-S-0003,"drawings,prints",50,/art/drawings/prints/dw-s-0003,dw-s-0003,,,50,1
dw-s-0004,Untitled,,graphite and paper,0.1,11,14,,2010,,Y,DW-S-0004,"drawings,prints",50,/art/drawings/prints/dw-s-0004,dw-s-0004,,,50,1
dw-s-0006,Untitled,,graphite and paper,0.1,11,14,,2010,,Y,DW-S-0006,"drawings,prints",50,/art/drawings/prints/dw-s-0006,dw-s-0006,,,50,1
dw-s-0007,Untitled,,graphite and paper,0.1,11,14,,2010,,Y,DW-S-0007,"drawings,prints",50,/art/drawings/prints/dw-s-0007,dw-s-0007,,,50,1
dw-s-0008,Untitled,,graphite and paper,0.1,11,14,,2010,,Y,DW-S-0008,"drawings,prints",50,/art/drawings/prints/dw-s-0008,dw-s-0008,,,50,1
dw-s-0009,Untitled,,graphite and paper,0.1,11,14,,2010,,Y,DW-S-0009,"drawings,prints",50,/art/drawings/prints/dw-s-0009,dw-s-0009,,,50,1
dw-s-0011,Untitled,,graphite and paper,0.1,11,14,,2010,,Y,DW-S-0011,"drawings,prints",50,/art/drawings/prints/dw-s-0011,dw-s-0011,,,50,1
dw-s-0012,Untitled,,graphite and paper,0.1,11,14,,2010,,Y,DW-S-0012,"drawings,prints",50,/art/drawings/prints/dw-s-0012,dw-s-0012,,,50,1
dw-s-0013,Untitled,,graphite and paper,0.1,11,14,11,14,,Y,DW-S-0013,"drawings,prints",50,/art/drawings/prints/dw-s-0013,dw-s-0013,,,50,1
pg-0003,Sometimes,,"acrylic paint, mixed media",1,48,12,7,2009,,Y,PG-0003,paintings,800,/art/paintings/sometimes,sometimes,1,2.5,1,1
s-cr-0014,Akintoye,"<p>Meaning: Strength is enough title.<br />Origin: Yuroba tribe, Nigeria.</p>","stoneware, anagama fired",7,18.5,13.5,15.4,2011,"s-cr-0014_a,s-cr-0014_b,s-cr-0014_c,s-cr-0014_d,s-cr-0014_e,s-cr-0014_f,s-cr-0014_g,s-cr-0014_h",Y,S-CR-0014_a,"sculpture,ceramics",2000,/art/sculpture/ceramics/akintoye,akintoye,200,15.4,1,1
s-cr-0016,Ayomide,"<p>Meaning: My joy has arrived<br />Origin: Yuroba tribe, Nigeria.</p>","stoneware, anagama fired",9,15.5,17,13.2,2011,"s-cr-0016_a,s-cr-0016_b,s-cr-0016_c,s-cr-0016_f,s-cr-0016_h,s-cr-0016_i,s-cr-0016_j,s-cr-0016_k",Y,S-CR-0016_h,"sculpture,ceramics",2000,/art/sculpture/ceramics/ayomide,ayomide,200,13.2,1,0
s-cr-0010,Billie,"<div class=""quote""><p>There's two kinds of blues, there's happy blues and there's sad blues. The blues is sort of a mixed up thing, you just have to feel it.</p><span class=""att"">- Billie Holiday</span></div>",terra-cotta,8,9,9,5.2,2004,"s-cr-0010_a,s-cr-0010_b,s-cr-0010_c",Y,S-CR-0010_a,"sculpture,ceramics",600,/art/sculpture/ceramics/billie,billie,100,5.25,1,1
s-cr-0013,Ezra,"<div class=""quote""><p>With usura, sin against nature,<br />is thy bread ever more of stale rags<br />is thy bread dry as paper,<br />with no mountain wheat, no strong flour...</p><span class=""att"">Canto XLV - With Usura(excerpt)<br />- Ezra Pound</span></div>","terra-cotta, acrylic surface",5,7,8,8,2006,"s-cr-0013_a,s-cr-0013_b",Y,S-CR-0013_a,"sculpture,ceramics",600,/art/sculpture/ceramics/ezra,ezra,110,8.2,1,1
s-cr-0011,Hughes,"<div class=""quote""><p>I've known rivers ancient as the world and older than the flow of human blood in human veins. My soul has grown deep like the rivers.</p><span class=""att"">The Negro Speaks of Rivers (excerpt) - Langston Hughes</span></div>",terra-cotta,13,16,16,16.5,2004,"s-cr-0011_a,s-cr-0011_b",Y,S-CR-0011_a,"sculpture,ceramics",900,/art/sculpture/ceramics/hughes,hughes,100,16.5,1,1
s-cr-0012,Jehoakim,,"terra-cotta, acrylic surface",5,7,9,10,2006,"s-cr-0012_a,s-cr-0012_b",Y,S-CR-0012_a,"sculpture,ceramics",600,/art/sculpture/ceramics/jehoakim,jehoakim,110,10,1,1
s-cr-0026,Joseph,,Stoneware with wax patina.,3.5,7.5,10.5,3.8,2012,"s-cr-0026_a,s-cr-0026_b,s-cr-0026_c,s-cr-0026_d,s-cr-0026_e,s-cr-0026_f,s-cr-0026_g,s-cr-0026_h",Y,S-CR-0026_a,"sculpture,ceramics",600,/art/sculpture/ceramics/joseph,joseph,300,,1,1
s-cr-0017,Untitled,,Stoneware with wax patina.,5,7,10.5,5.2,2012,"s-cr-0017_a,s-cr-0017_b,s-cr-0017_c,s-cr-0017_d,s-cr-0017_e,s-cr-0017_f,s-cr-0017_g,s-cr-0017_h",Y,S-CR-0017_a,"sculpture,ceramics",600,/art/sculpture/ceramics/s-cr-0017,s-cr-0017,300,,1,1
