"product_code	name	description	medium	dimensions	weight	year	poplets	enabled	small_image	large_image	catalogue	sale_price	retail_price	url_path"
"DW_0014	Untitled		acrylic and graphite on wood panel	11 x 1 x 14	1.6	2012		Y	/images/art/portfolio/small/DW_0014.jpg	/images/art/portfolio/large/DW_0014.jpg	/Drawings/;	US/400.00;	US/400.00;	http://baralaye.com/drawings/dw-0014"
"DW_0015	Untitled		acrylic and graphite on wood panel	11 x 1 x 14	1.6	2012		Y	/images/art/portfolio/small/DW_0015.jpg	/images/art/portfolio/large/DW_0015.jpg	/Drawings/;	US/400.00;	US/400.00;	http://baralaye.com/drawings/dw-0015"
"DW_0016	Untitled		acrylic and graphite on wood panel	11 x 1 x 14	1.6	2012		Y	/images/art/portfolio/small/DW_0016.jpg	/images/art/portfolio/large/DW_0016.jpg	/Drawings/;	US/400.00;	US/400.00;	http://baralaye.com/drawings/dw-0016"
"DW_0017	Untitled		acrylic and graphite on wood panel	11 x 1 x 14	1.6	2012		Y	/images/art/portfolio/small/DW_0017.jpg	/images/art/portfolio/large/DW_0017.jpg	/Drawings/;	US/400.00;	US/400.00;	http://baralaye.com/drawings/dw-0017"
"DW_0018	Untitled		acrylic and graphite on wood panel	11 x 1 x 14	1.6	2012		Y	/images/art/portfolio/small/DW_0018.jpg	/images/art/portfolio/large/DW_0018.jpg	/Drawings/;	US/400.00;	US/400.00;	http://baralaye.com/drawings/dw-0018"
"DW_0019	Untitled		acrylic and graphite on wood panel	12 x 1 x 12	1.6	2012		Y	/images/art/portfolio/small/DW_0019.jpg	/images/art/portfolio/large/DW_0019.jpg	/Drawings/;	US/400.00;	US/400.00;	http://baralaye.com/drawings/dw-0019"
"DW_0020	Untitled		acrylic and graphite on wood panel	12 x 1 x 12	1.6	2012		Y	/images/art/portfolio/small/DW_0020.jpg	/images/art/portfolio/large/DW_0020.jpg	/Drawings/;	US/400.00;	US/400.00;	http://baralaye.com/drawings/dw-0020"
"DW_0021	Untitled		acrylic and graphite on wood panel	12 x 1 x 12	1.6	2012		Y	/images/art/portfolio/small/DW_0021.jpg	/images/art/portfolio/large/DW_0021.jpg	/Drawings/;	US/400.00;	US/400.00;	http://baralaye.com/drawings/dw-0021"
"DW_0022	Untitled		acrylic and graphite on wood panel	12 x 1 x 12	1.6	2012		Y	/images/art/portfolio/small/DW_0022.jpg	/images/art/portfolio/large/DW_0022.jpg	/Drawings/;	US/400.00;	US/400.00;	http://baralaye.com/drawings/dw-0022"
"DW_0023	Untitled		acrylic and graphite on wood panel	12 x 1 x 12	1.6	2012		Y	/images/art/portfolio/small/DW_0023.jpg	/images/art/portfolio/large/DW_0023.jpg	/Drawings/;	US/400.00;	US/400.00;	http://baralaye.com/drawings/dw-0023"
"DW-S_0002	Untitled		graphite and paper	11 x .1 x 14		2010		Y	/images/art/portfolio/small/DW-S_0002.jpg	/images/art/portfolio/large/DW-S_0002.jpg	/Drawings/Prints/;	US/50.00;	US/50.00;	http://baralaye.com/drawings/prints/dw-s-0002"
"DW-S_0003	Untitled		graphite and paper	11 x .1 x 14		2010		Y	/images/art/portfolio/small/DW-S_0003.jpg	/images/art/portfolio/large/DW-S_0003.jpg	/Drawings/Prints/;	US/50.00;	US/50.00;	http://baralaye.com/drawings/prints/dw-s-0003"
"DW-S_0004	Untitled		graphite and paper	11 x .1 x 14		2010		Y	/images/art/portfolio/small/DW-S_0004.jpg	/images/art/portfolio/large/DW-S_0004.jpg	/Drawings/Prints/;	US/50.00;	US/50.00;	http://baralaye.com/drawings/prints/dw-s-0004"
"DW-S_0006	Untitled		graphite and paper	11 x .1 x 14		2010		Y	/images/art/portfolio/small/DW-S_0006.jpg	/images/art/portfolio/large/DW-S_0006.jpg	/Drawings/Prints/;	US/50.00;	US/50.00;	http://baralaye.com/drawings/prints/dw-s-0006"
"DW-S_0007	Untitled		graphite and paper	11 x .1 x 14		2010		Y	/images/art/portfolio/small/DW-S_0007.jpg	/images/art/portfolio/large/DW-S_0007.jpg	/Drawings/Prints/;	US/50.00;	US/50.00;	http://baralaye.com/drawings/prints/dw-s-0007"
"DW-S_0008	Untitled		graphite and paper	11 x .1 x 14		2010		Y	/images/art/portfolio/small/DW-S_0008.jpg	/images/art/portfolio/large/DW-S_0008.jpg	/Drawings/Prints/;	US/50.00;	US/50.00;	http://baralaye.com/drawings/prints/dw-s-0008",,,,,
